,postcode,house_price,area,size,purchase_price,lat,lon
113,1015 CP Netherlands,1267500.0,153.5,493.0,1239994.7191011235,52.3793405,4.8892295
114,1015 CT Netherlands,1495000.0,237.0,249.0,694330.6829268293,52.3778337,4.887851299999999
115,1015 CV Netherlands,675000.0,100.0,254.0344827586207,675589.4606741572,52.3773646,4.887430699999999
116,1015 CW Netherlands,500000.0,74.0,832.0,1025925.2422907489,52.3767691,4.886894
117,1015 DG Netherlands,1345000.0,141.0,167.875,466354.125,52.3752586,4.8867495
118,1015 DL Netherlands,350000.0,44.0,123.8,515826.74074074073,52.3791265,4.8875136
119,1015 DT Netherlands,1095000.0,167.0,178.0,423235.5794392523,52.3767718,4.8854107
120,1015 DW Netherlands,1650000.0,168.0,46.666666666666664,254186.39306358382,52.3784018,4.8861706
121,1015 GD Netherlands,585000.0,91.0,75.5,291048.0243902439,52.380771,4.887451
122,1015 GH Netherlands,285000.0,39.0,201.0,209917.36787564767,52.3820109,4.885233899999999
123,1015 GK Netherlands,500000.0,82.0,,368100.7012448133,52.3830813,4.883312399999999
124,1015 GL Netherlands,405000.0,59.5,55.2,275930.7570332481,52.382577,4.883083099999999
125,1015 HC Netherlands,450000.0,71.0,49.75,482540.0,52.3747206,4.87862
126,1015 JE Netherlands,525000.0,76.0,,324300.0,52.3811046,4.883467
127,1015 JM Netherlands,479000.0,74.0,,231183.92307692306,52.3803267,4.882286199999999
128,1015 JN Netherlands,325000.0,47.0,92.0,475485.4854368932,52.380188,4.8813772
129,1015 KE Netherlands,595000.0,75.0,39.0,287205.1376146789,52.3799088,4.8833631
130,1015 KL Netherlands,885000.0,115.0,65.23076923076923,318877.96078431373,52.3801892,4.8837712
131,1015 KN Netherlands,575000.0,85.0,101.25,289302.167192429,52.3798652,4.8815571
132,1015 MT Netherlands,700000.0,110.0,43.0,532806.5540540541,52.37790829999999,4.8800227
133,1015 ND Netherlands,450000.0,45.0,142.13333333333333,323820.2878228782,52.3780005,4.8847947
134,1015 NV Netherlands,510000.0,91.0,64.0,418456.7403314917,52.3767486,4.8799478
135,1015 PA Netherlands,649000.0,95.0,,368503.0508474576,52.3767909,4.8814453
136,1015 PB Netherlands,649000.0,92.0,58.93103448275862,363737.1186440678,52.3766168,4.880669
137,1015 PE Netherlands,1075000.0,157.0,85.88888888888889,348751.19024390244,52.3776234,4.884887099999999
138,1015 PL Netherlands,1400000.0,183.0,,296330.4090909091,52.3772096,4.8847889
139,1015 PR Netherlands,339000.0,41.0,,391528.77777777775,52.3767149,4.8825917
140,1015 RR Netherlands,1212500.0,149.5,92.16666666666667,377071.224137931,52.3758607,4.880398599999999
141,1015 RS Netherlands,399000.0,69.0,,242051.71698113208,52.3754562,4.8782885
142,1015 SB Netherlands,285000.0,53.0,,245608.0,52.37661420000001,4.8821669
143,1015 SE Netherlands,650000.0,73.0,79.15068493150685,732719.3424657534,52.376193,4.880350700000001
144,1015 TJ Netherlands,975000.0,156.0,97.66666666666667,295504.0,52.375259,4.882622899999999
145,1015 TM Netherlands,2500000.0,413.0,102.33333333333333,609975.7209302326,52.37481039999999,4.8807043
146,1015 TP Netherlands,600000.0,81.0,112.0,359757.9166666667,52.3745449,4.8795619
147,1015 TT Netherlands,1300000.0,140.0,131.48275862068965,494485.61832061067,52.3742976,4.878477999999999
148,1015 TV Netherlands,1675000.0,200.0,88.0,752357.2972972973,52.3741053,4.8776432
149,1015 VV Netherlands,225000.0,30.0,79.5,108697.64705882352,52.3803359,4.8802446
150,1015 WE Netherlands,192000.0,25.5,,176007.58720930232,52.3761368,4.877722599999999
151,1016 AA Netherlands,950000.0,81.0,158.0,683723.78335535,52.37421579999999,4.8888318
152,1016 AC Netherlands,1690000.0,241.0,126.47368421052632,2908704.7741935486,52.3727217,4.88832
153,1016 AG Netherlands,1695000.0,275.0,76.25396825396825,2397596.5714285714,52.37017609999999,4.8878347
154,1016 AH Netherlands,1990000.0,313.0,103.3913043478261,1148239.4074074074,52.3696721,4.8876788
155,1016 BE Netherlands,1588333.3333333333,203.66666666666666,680.1538461538462,1366560.1812297734,52.3743108,4.887905600000001
156,1016 BH Netherlands,1595000.0,202.0,100.61538461538461,781987.25,52.37156710000001,4.8873345
157,1016 BS Netherlands,900000.0,136.0,112.0,3343929.3902439023,52.3731381,4.8868909
158,1016 BV Netherlands,895000.0,146.5,693.4,2969750.265060241,52.3716185,4.8867318
159,1016 CJ Netherlands,900000.0,93.33333333333333,157.0,707327.5294117647,52.368004,4.8864055
160,1016 CR Netherlands,625000.0,109.0,156.3548387096774,899542.5283018867,52.3660257,4.881920399999999
161,1016 CS Netherlands,1150000.0,168.0,117.66666666666667,943245.3548387097,52.36576179999999,4.8811746
162,1016 CT Netherlands,2000000.0,325.0,95.94736842105263,641719.1851851852,52.3655708,4.8806483
163,1016 CX Netherlands,930000.0,131.0,131.56,541175.8051948051,52.3655501,4.8800025
164,1016 DV Netherlands,2950000.0,440.0,158.25,5760252.4772727275,52.37354879999999,4.8862401
165,1016 EJ Netherlands,950000.0,140.0,1322.1666666666667,1128058.1550591327,52.3683481,4.8848746
166,1016 EL Netherlands,3250000.0,339.0,90.0,1275554.2,52.36720709999999,4.8849903
167,1016 ES Netherlands,729000.0,138.0,61.0,487924.0,52.3688472,4.8859996
168,1016 EX Netherlands,925000.0,171.0,162.0,872613.3684210526,52.37053,4.8843947
169,1016 GX Netherlands,817500.0,105.0,348.0,486809.86516853934,52.3724847,4.8832859
170,1016 HA Netherlands,1825000.0,252.0,105.85714285714286,926456.5555555555,52.37483779999999,4.882892
171,1016 HZ Netherlands,795000.0,100.0,56.833333333333336,501171.2676056338,52.3683549,4.882246299999999
172,1016 KG Netherlands,750000.0,79.0,,1062290.7045454546,52.3744314,4.8803415
173,1016 KL Netherlands,1375000.0,185.0,88.5,679784.5123966942,52.3739825,4.878349399999999
174,1016 KX Netherlands,600000.0,80.0,45.095238095238095,348884.37209302327,52.373774,4.880040699999999
175,1016 LC Netherlands,897000.0,117.0,59.5,2234726.896551724,52.374285,4.8818263
176,1016 LN Netherlands,450000.0,104.0,49.0,270407.632034632,52.3731017,4.8783596
177,1016 NA Netherlands,625000.0,118.0,107.0,1628749.7222222222,52.3724681,4.877309599999999
178,1016 NB Netherlands,800000.0,128.0,130.0,255959.24324324325,52.3738831,4.882433
179,1016 NM Netherlands,749000.0,134.0,,77143.0,52.3730014,4.8822228
180,1016 NT Netherlands,275000.0,42.0,,224068.576,52.36803399999999,4.8828813
181,1016 PS Netherlands,1250000.0,166.0,,262247.0909090909,52.371702,4.8789042
182,1016 RB Netherlands,350000.0,53.0,79.5,331351.35135135136,52.3718374,4.8790495
183,1016 RG Netherlands,2100000.0,247.0,613.968152866242,7716414.360703812,52.371161,4.8805991
